State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	4131	4177	4223	4268	4314	4360	4405	4450	4494	4539	4585	4628	4672	4717	4760	4804	4848	4891	4934	4978	5021.5	5063	5106	5149	5192	5235	5276.5	5320	5362	5403	5445	5487.5	5529	5572	5612	5655	5696	5736.5	5777	5817	5859.5	5901	5941.5	5981.5	6020.5	6063	6105	6146	6187	6230	6271	6309	6352	6388	6430.5	6475.5	6513.5	6555	6595	6633.5	6675	6715.5	6756	6796	6836.5	6879	6915.5	6954.5	6997	7036	7077.5	7118	7155.5	7194	7237.5	7276.5	7317.5	7357.5	7398.5	7436	7478	7521	7560.5	7601	7640	7680.5	7718.5	7757.5	7798	7839.5	7881.5	7917.5	7958.5	7996.5	8034.5	8073	8112	8150	8192	8232	8272.5	8313	8356.5	8393.5	8434	8473	8512	8554.5	8592	8632.5	8675	8715	8754	8794.5	8832.5	8867	8910	8949	8985.5	9025	9063	9104	9141.5	9181	9218.5	9260	9300.5	9341.5	9383.5	9424	9463.5	9503	9544	9583.5	9617	9659	9697.5	9734	9776	9813.5	9853	9891	9927.5	9966	10003	10040.5	10085.5	10118.5	10159	10195.5
Arizona	7317	7389	7461	7532	7602	7672	7742	7810	7878	7948	8015	8083	8150	8217	8282	8348	8414	8479	8543.5	8608	8673	8735	8800	8863.5	8929	8989	9054	9114	9178	9239	9299	9362	9423	9483.5	9546	9607	9670	9730	9790	9849	9908.5	9968.5	10027	10088	10148	10211	10268.5	10326	10383	10446	10504.5	10560.5	10615	10676	10733.5	10793.5	10850.5	10907.5	10969.5	11025	11082.5	11139	11196.5	11256	11311	11366.5	11425	11486	11542	11599	11656.5	11714	11768.5	11833	11888	11948.5	12003	12062	12119	12173.5	12232.5	12284	12343	12402	12461	12519	12575	12630	12683.5	12744	12798.5	12855	12911.5	12962	13019.5	13070	13132.5	13184.5	13246.5	13302	13360.5	13416.5	13473.5	13527	13580.5	13639.5	13687.5	13748	13799	13855.5	13913.5	13962	14020	14079.5	14137.5	14192.5	14247	14306.5	14360	14419	14478.5	14536	14592.5	14643	14697.5	14753	14812	14870	14935	14991.5	15044.5	15098	15151	15209.5	15263	15323.5	15375.5	15430.5	15486.5	15546	15593.5	15654	15708.5	15760.5	15818.5	15868	15921	15979	16027.5	16080.5
Arkansas	2911	2948	2985	3023	3062	3101	3140	3179	3219	3259	3299	3339	3380	3421	3461	3503	3544	3586	3629	3670	3712	3755	3797	3839	3882	3926	3970	4012	4055	4099	4141	4185	4226	4271	4313.5	4356	4400	4443	4485	4530	4573	4615.5	4659	4702	4746	4791	4835	4878	4922	4964.5	5007.5	5053	5096	5139	5181	5226	5269	5310.5	5354.5	5400.5	5444	5487.5	5531	5574.5	5619	5661	5705	5751	5794	5838	5881	5925.5	5969	6012	6057	6101	6142.5	6185	6231	6276.5	6317.5	6363.5	6407	6452	6494.5	6538	6583	6627	6671	6712	6754	6799	6843.5	6887.5	6929.5	6973	7014	7055	7099.5	7144	7189	7233	7276.5	7320	7365	7408.5	7452.5	7501	7544.5	7586.5	7628.5	7674.5	7718.5	7760.5	7804.5	7847.5	7891	7937	7978	8020	8064	8106	8152	8195	8235	8281	8325.5	8365	8404	8447.5	8494.5	8537.5	8583.5	8623.5	8666.5	8714	8756	8797	8841.5	8883	8930	8969	9011.5	9061	9104	9147	9190.5	9231	9273	9313.5
California	20985	21183	21376	21567	21753.5	21941	22126	22308	22490	22669	22850	23030	23206.5	23381.5	23555	23726	23902	24072	24238	24407	24570.5	24739	24905.5	25070.5	25234	25395	25558.5	25719.5	25877.5	26037	26196	26354.5	26511	26668	26827	26983	27128	27286	27440	27589	27737.5	27889	28038.5	28186	28337	28487	28634.5	28788.5	28934	29077.5	29221	29361	29511	29666	29811.5	29951	30092.5	30237	30379	30521	30663.5	30801.5	30953	31101	31242.5	31383	31525	31667.5	31804.5	31947.5	32084.5	32224	32365	32510	32650.5	32789.5	32935.5	33079.5	33217.5	33358	33498.5	33635.5	33776	33914.5	34052	34194.5	34339.5	34477.5	34612.5	34741	34881.5	35027	35163.5	35298.5	35447	35579.5	35719.5	35867.5	36007	36138	36283.5	36416.5	36544.5	36687.5	36833	36970	37101.5	37238	37378.5	37517	37653.5	37792	37934.5	38076.5	38227	38351	38484	38623.5	38756	38890.5	39026	39163	39299.5	39432.5	39580.5	39721	39851.5	39979	40123	40255.5	40388	40526	40655	40789	40923	41058.5	41194.5	41336.5	41470	41599	41736.5	41863.5	42015	42149.5	42292	42424	42555	42691.5	42825	42948.5
Colorado	3945	4045	4143	4242	4340	4438	4536	4632	4727	4820	4914	5008	5101.5	5195	5287	5380	5470	5563	5653	5741	5831	5921	6011	6099.5	6188	6274.5	6363	6450.5	6537	6624	6712.5	6794	6881	6963.5	7047	7134	7216.5	7300.5	7385	7467	7548	7629.5	7715	7795	7879	7959	8041	8123	8205	8289.5	8369.5	8451	8535	8615	8692	8775	8851.5	8933	9014	9098	9177	9260.5	9336	9417	9500	9579.5	9659.5	9738.5	9816	9900	9979.5	10057.5	10137	10215	10293.5	10378.5	10458	10534.5	10611.5	10682.5	10763.5	10841.5	10916	10998	11075.5	11153.5	11234	11312.5	11391.5	11465	11543.5	11624.5	11701	11776.5	11856	11935	12008.5	12092.5	12165	12250	12330	12405	12483	12561	12637.5	12716.5	12793	12866	12938	13021	13099.5	13174.5	13253	13331	13411	13487	13562.5	13642	13718.5	13796	13868	13943	14019.5	14102	14177	14252.5	14332.5	14412.5	14485	14562	14633	14715.5	14794.5	14873	14950	15026	15100	15175	15258	15337	15411	15492	15568	15636	15720.5	15798.5	15872	15949	16029	16106
Connecticut	5401	5437	5473	5510	5546	5582	5618	5653	5688	5723	5758	5793	5827	5862	5895	5929	5962	5995	6029	6061	6094	6128	6160	6192	6226	6258	6288	6320.5	6354	6386	6417	6448	6480	6511	6541.5	6573	6603	6635	6665	6695.5	6725.5	6757	6786	6814	6843.5	6875	6906	6938	6967	6996	7026	7057	7084	7113.5	7143	7172	7201	7229	7259	7287	7317	7344	7374	7404	7433.5	7462	7490.5	7520.5	7550.5	7580	7608	7637	7663.5	7694	7721	7749	7775	7806.5	7837	7864.5	7892.5	7919.5	7948	7975	8005.5	8034	8059.5	8090	8116	8144.5	8174	8202	8230.5	8259	8291	8317	8344.5	8374	8402	8430	8459	8488.5	8521	8545	8575	8603	8629	8658	8687	8720	8747.5	8777	8803	8830	8857.5	8884.5	8914	8941.5	8968	8999.5	9027.5	9056.5	9085	9118	9146.5	9171	9197.5	9225	9254	9275.5	9305.5	9333.5	9360	9388	9416	9441	9473.5	9504	9533	9560.5	9589	9615	9645.5	9673.5	9700	9727.5	9757.5	9785.5	9815.5	9842
Delaware	814	821	828	835	842	849	856	863	869	876	883	890	896	903	909	916	922	929	935	941	947	954	960	967	973	980	986	992	999	1005	1011	1017	1023	1029	1035	1041	1047	1053	1059	1065	1070	1077	1082	1088.5	1095	1101	1107	1113	1119	1125	1130	1136	1142	1148	1154	1160	1165	1172	1178	1184	1189	1195	1201	1207	1213	1218	1223	1229	1235	1240	1246	1251.5	1256	1262	1267	1273	1279	1285	1291	1297	1302	1308	1313	1319	1324	1329.5	1335	1340	1346	1352	1358	1363	1369	1375	1381	1387	1392	1398	1403	1409	1415	1420	1425.5	1431	1436	1442	1448	1453	1458	1464	1470	1476	1481	1488	1494	1499	1505	1511.5	1517	1521.5	1527	1532	1538.5	1544	1548	1554.5	1561	1567	1572	1577	1584	1589	1596	1601	1606.5	1612.5	1618	1624	1630	1635	1640	1645.5	1651	1656	1662	1667	1671	1678	1683	1688
DistrictofColumbia	711	714	716	719	721	724	726	728	731	733	736	738	741	743	745	748	750.5	753	755	758	760	763	765	768	770	772	775	777	780	782	785	787	790	792	795	797	800	802	805	807	810	812	814	817	819	822	824	827	830	832	834	837	839	841	844	846	849	851	854	856	859	861	864	866	868	870	873	876	878	881	884	886	888	891	893	896	898	900	903	905.5	908	910	913	915	918	920	923	925	927	930	932	935	937	940	942	944	947	949	952	954	957	959	962	964	967	969	972	974	977	979	982	984	986	988	991	993	996	998	1000.5	1003	1006	1008	1010	1013	1016	1018	1020	1023	1025	1028	1030	1033	1035	1038	1040	1042	1045	1047	1050	1052	1054.5	1057	1060	1062	1065	1067	1069	1072	1074	1077
Florida	19835	19956	20075	20194	20311	20427	20543.5	20658	20771	20883	20994	21104	21213	21320	21427	21535	21641	21745	21849	21953	22057	22158	22259	22359	22456	22556	22652.5	22751	22850	22945	23043	23136.5	23231.5	23324	23415.5	23512.5	23606	23699	23789	23878	23969	24060.5	24147.5	24242	24323	24417	24500.5	24588.5	24676.5	24763.5	24852	24939	25022	25106	25192.5	25286	25368.5	25453.5	25540.5	25622	25700	25787.5	25867.5	25952.5	26038.5	26126.5	26205	26287	26370	26451	26530.5	26617	26692	26771.5	26853.5	26939	27021	27103.5	27188.5	27271	27352.5	27434	27510.5	27592.5	27675.5	27760.5	27841.5	27924.5	28000.5	28084	28158.5	28237	28323	28401	28479	28554.5	28633.5	28716.5	28804	28876.5	28953	29029.5	29113.5	29193	29273.5	29350.5	29427	29509	29587	29665.5	29752	29833	29908	29984	30061.5	30148	30227	30307.5	30388	30468.5	30546.5	30623.5	30701.5	30782	30861	30938	31017.5	31093.5	31178	31254.5	31338.5	31416	31491	31565.5	31649.5	31720.5	31798	31873.5	31954	32038	32117.5	32198.5	32279	32349	32425.5	32504.5	32583	32664	32739	32813
Georgia	10100	10169	10238	10306	10372	10439	10505	10570	10634	10699	10762	10825	10887	10948.5	11009	11071	11132	11191	11250	11309	11369	11426.5	11485.5	11543.5	11602	11659	11716	11773	11829	11885	11940.5	11993.5	12048	12104	12156	12212	12265	12315	12368	12420	12474	12525	12579	12630	12680.5	12732	12785	12838	12889	12941	12991	13039	13090.5	13141	13192.5	13240.5	13289	13337	13387.5	13437.5	13486	13535	13587	13633	13685	13737	13787	13831.5	13878	13925.5	13976.5	14024.5	14068	14120	14167	14213	14265.5	14314	14360.5	14410.5	14458	14506.5	14552	14603.5	14652	14699.5	14745.5	14792	14839	14889	14935.5	14980.5	15033	15079.5	15123.5	15173	15222.5	15264.5	15316	15363.5	15410	15454	15503.5	15551	15595	15641.5	15689	15730	15781.5	15826.5	15866	15917.5	15966	16010	16057	16102.5	16150	16194	16244.5	16286.5	16336	16382.5	16430.5	16480.5	16525.5	16569.5	16616.5	16665.5	16710.5	16760	16803	16851.5	16897	16939.5	16988	17033.5	17084	17124	17170.5	17212.5	17263	17307.5	17354	17404	17447	17498.5	17544	17591.5	17637.5	17689.5
