State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	4113	4151	4190	4230	4270	4310	4348.475	4389.475	4427	4468	4512	4551	4588.475	4627	4668	4706.475	4744	4782	4818.475	4858.475	4896.475	4931.475	4969.475	5004.475	5039	5075.95	5110	5145	5178.95	5215.475	5248.475	5285.475	5321.475	5358	5392.475	5430.475	5464.425	5499	5531.475	5567.475	5600	5637.475	5672	5702.375	5731.9	5757	5793.95	5829.425	5861	5893.95	5925	5962.475	5997	6031.95	6063	6095.475	6131	6167.475	6197.475	6231.375	6267.425	6296	6329.475	6361.9	6393.475	6427.475	6461.425	6495	6528.425	6564	6594.95	6625.95	6657.425	6689.475	6725.425	6754.475	6782.95	6819.95	6847.425	6884.475	6918.95	6947.475	6983.475	7017.475	7050.425	7090.475	7117.475	7156.95	7188.475	7217.475	7250	7285.425	7315.95	7348.9	7379.9	7414	7446.475	7478.9	7511.275	7543	7568.95	7603	7636.95	7670.9	7700	7734	7767.95	7797.475	7833.95	7867.475	7896	7930.95	7965.475	7993	8027	8063.475	8093.85	8126.475	8159.375	8194.8	8229.425	8260.95	8291	8318.425	8356.225	8384.9	8416.425	8453.8	8486.475	8517.85	8551.475	8581.325	8616.9	8647.475	8678.425	8718.95	8745	8772.475	8806.375	8840.475	8879.475	8907.95	8941.9	8976.325	9011.9	9045	9077	9106	9144.475	9174.375
Arizona	7297	7361	7423	7486	7550	7615	7678	7741	7804	7865	7927.475	7986	8048.475	8110.475	8169	8227	8284	8342	8399.475	8453.425	8506	8562.475	8619.475	8672	8721.475	8773.475	8825.475	8881	8933	8986.475	9034.475	9085.475	9135.425	9190	9239.475	9287	9337	9387	9433.9	9485	9529.475	9575.9	9628.95	9673.425	9729	9778.425	9825	9876	9920	9966.95	10012	10059.375	10105	10153.95	10204.475	10250.9	10297	10341.9	10389.475	10439.475	10485.475	10529.475	10575.475	10620	10666	10712.475	10755.9	10801.475	10845.425	10896.425	10942.475	10989.475	11040.475	11090	11137.9	11187.475	11233.475	11279.475	11328.375	11374.475	11431.475	11476.95	11525.475	11572.425	11614.75	11660.225	11712	11759.9	11806.425	11850.475	11899.95	11945.75	11994.425	12030.425	12082	12127.475	12181.95	12230	12277.95	12323.85	12368.225	12410.75	12457	12501.95	12550.475	12596.85	12644.475	12691.425	12733	12781.9	12824.9	12871.375	12922.95	12969.9	13015.95	13054.95	13104.95	13153.475	13201.475	13244.7	13292.95	13342.95	13388.325	13435.475	13476.95	13533	13573.325	13620	13666.95	13716	13754.95	13802.425	13848.85	13896.425	13944.9	13989.8	14034.8	14082.9	14127.9	14176.7	14222.85	14264.475	14310.475	14355	14406.475	14449.75	14494.425	14543.425	14589.375	14634.6
Arkansas	2897	2928	2959	2992.475	3026	3061	3097	3133	3170.475	3208	3246	3284	3318.475	3356	3396	3431.475	3470	3510	3548	3585	3624	3665	3701.475	3738	3775	3812	3849	3888	3927	3965	4004.95	4042.95	4079.475	4118.95	4152.475	4191	4229.95	4269	4307.95	4344.95	4383.95	4422.475	4459	4493.9	4539.95	4574.475	4610.425	4644.475	4681	4719.95	4760	4797.95	4838.375	4879	4916	4955.475	4992.425	5028.475	5062.475	5101.95	5141.95	5177	5217.475	5249	5288	5323.425	5367.475	5406.475	5449.475	5486.475	5523	5556.9	5595	5633	5670.95	5710.475	5748	5781.475	5820.95	5851.95	5893.375	5929.95	5972	6011.475	6048.95	6083.95	6120.425	6157.475	6196	6231.475	6272.475	6305.475	6345.475	6385.475	6425	6463.475	6505	6542	6574.95	6611	6646.9	6685.475	6722.95	6755.475	6796.475	6836.475	6872.375	6907.425	6945.475	6981.475	7019.475	7057	7093.425	7131.95	7167.95	7206.95	7245.95	7283	7313.425	7353.475	7386.475	7427.475	7464.475	7500.425	7536.475	7569.425	7612.375	7650.95	7690.95	7734.475	7772.225	7805.475	7844.95	7884.475	7917.95	7953.475	7989.475	8024.275	8065.95	8107.85	8143.95	8182.475	8220.475	8262.475	8301.475	8332.95	8369.95	8404.95	8438.95	8479.475
California	20948.475	21127.475	21306	21486.475	21664	21844	22017.475	22187.475	22354.475	22526	22694.475	22856.475	23015.475	23174	23328.475	23480	23635	23779.475	23934	24082.475	24225.475	24361.475	24502.425	24637.425	24775	24909.425	25042.425	25176	25305.475	25437.95	25566.95	25696.475	25821.475	25950.475	26078.425	26200	26327.425	26451.475	26578.475	26697.475	26821.95	26941.475	27060.95	27182.95	27301.95	27418	27534.475	27652	27775.475	27897	28013.475	28132.475	28245.475	28362.425	28484.375	28603.9	28720.425	28838.475	28948.425	29068.85	29184.425	29298.8	29412.95	29522.95	29633.9	29745.95	29860.375	29977.95	30095.475	30202.475	30323.475	30430.95	30560.425	30667.475	30787.95	30901.95	31010.375	31117	31232.425	31349.85	31465.85	31584.475	31699.425	31812.95	31924.85	32030	32148.425	32264.425	32377	32487.425	32597.95	32718.475	32832.475	32942.7	33046.95	33156.475	33261.375	33376.475	33490.475	33602.475	33727.475	33840.325	33947.95	34068	34175.275	34285.75	34403.375	34520.425	34625.025	34737.9	34847.8	34963.475	35069.225	35186.95	35300.95	35409.75	35512.95	35625.075	35744.275	35843.125	35953.275	36063.325	36190	36313.9	36442.425	36547.275	36643.95	36759.95	36877.075	36984.275	37109.475	37226.475	37342.9	37445	37552.425	37665.75	37775	37892.6	38009.5	38115.55	38221.775	38337.425	38453.375	38571.6	38678.95	38788.85	38904.225	39020.95	39133.375	39255.9
Colorado	3921	4008	4099	4187	4278.475	4371	4458.475	4545.475	4634.475	4726	4812	4898	4982	5066	5146	5230	5308.475	5390.95	5473	5551.475	5622.95	5696	5772.475	5839.475	5918	5989.475	6065.425	6133.375	6211	6280	6355	6417	6491.425	6559.95	6630	6702.475	6768.375	6833	6911	6971	7036.9	7104.9	7175	7248	7316	7381.475	7447.95	7519.475	7590.475	7658	7724.95	7782.95	7853	7916	7984.9	8050	8115	8185.475	8243.475	8316.95	8383.425	8452.95	8517.325	8586.475	8653	8717.375	8786.475	8853.475	8920.475	8988.475	9051.425	9118.9	9191.475	9250.275	9318.475	9378.425	9444.8	9505.475	9567.425	9641.85	9709.8	9770.325	9836	9891.95	9961	10032.95	10099.225	10156.325	10219.95	10287	10358.9	10426.475	10487.325	10553.9	10622.9	10693.8	10754.425	10819.275	10884.125	10952.375	11016.95	11081.475	11147.9	11210.475	11272.95	11335.475	11402	11457.9	11526.95	11591.75	11653.475	11723.95	11786.475	11853.95	11916	11986.475	12051.475	12110.95	12173.325	12240.9	12303.425	12371.475	12434.95	12500.95	12562.8	12626.9	12691.475	12760.95	12831.95	12894.475	12957	13029	13087.475	13148.9	13213.225	13285.95	13346.475	13413.85	13484.9	13550.95	13610.8	13677.375	13747.95	13802	13869	13940.425	14008.475	14063.325	14127.85	14196.375
Connecticut	5386	5415.475	5447	5479.475	5512	5545	5578	5610	5644	5675.475	5709	5739	5772	5801.95	5833	5864	5893.475	5923	5952	5984	6011	6039	6069.475	6097	6126	6154	6181.475	6208	6233	6259	6286	6314	6341.475	6368	6394	6422	6445	6470.475	6498.475	6527	6551.475	6577.475	6601.475	6629	6654	6676.475	6700	6724.475	6750	6775	6801	6825	6852	6877	6899.95	6924.475	6950.475	6973.425	6997.95	7022.475	7048.95	7073.475	7096	7122	7146	7171.95	7194.475	7219.475	7243.95	7268.475	7290.475	7315.95	7341.475	7364	7389.475	7412	7437.95	7462.425	7488.475	7513.95	7538	7562	7588.95	7615.475	7640.475	7661.475	7688	7711.475	7740.475	7764	7786	7810	7833	7861	7888.95	7911.475	7935	7956.95	7983.475	8013	8034	8057.95	8078.9	8103.475	8129.475	8155.475	8180	8203.95	8231	8252.475	8276	8300	8325	8349.475	8372.475	8393.475	8419.475	8443	8469.475	8494.475	8516.475	8538.9	8567.475	8590.95	8618.95	8648	8670	8693.475	8717.95	8737.95	8762	8783.475	8809	8834.475	8857.95	8884	8908	8934.475	8958.475	8984.475	9010	9035	9060.475	9083.475	9110	9137	9161.475	9185	9209.425	9236
Delaware	807	811	816	821	826	831	836	842.475	847.475	853	858.475	864	871	876	881	886	891.475	897	901	907	912	917.475	922	928	933	937	943	948	953.475	959	964	968	972	977	982.475	987	991.475	996	1002	1006	1010	1014.475	1020	1025	1030	1034	1039	1044	1049	1053	1058.475	1063	1066	1071	1075	1079.475	1083	1088.475	1093	1096	1101	1106	1109	1116	1118.475	1123	1127	1131.475	1136	1141	1146	1151	1155	1159	1163	1169	1172.475	1177	1182	1186	1189.475	1195	1199	1203	1207.475	1211.475	1215	1218.475	1224	1228.475	1233.475	1240	1246	1249.475	1253	1259.475	1262	1266.475	1272	1274.475	1278	1284	1288	1293.475	1300	1302	1305.475	1310	1315	1319.475	1322.475	1328	1333.475	1338.475	1341.475	1346	1349.475	1354	1358.475	1363	1367.475	1370.95	1374.95	1379.475	1383.475	1389	1393	1399	1402	1408	1412.475	1415	1419.475	1423.475	1428	1433.475	1438.475	1443.475	1447.475	1452.475	1458	1462.475	1468.475	1473	1475.475	1481	1486	1491.475	1495	1499.475
DistrictofColumbia	710	711	712	713	715	717	718	720	722	724	726	728	730	732	734	735	738	739	741	744	746	748	750	752	754	756	758	760	762	764	766	768	770	772	774	776	778.475	780.475	782	784	787	789	791	793	795	797	799	800	803	805	808	810	811	813	815.475	817	820	821.475	823	825	828	830	832	835	836.475	838	840	842	844	847	849	850.475	853	854.475	856.475	858	859	862	865	866	868	870	873	874	876	878.475	880	882	884	886	889	891	893	894.475	897	899	901	904	906	908	910	912	915	916.475	918.475	921	922.475	925	927.475	929.475	931.475	934	936	937.475	939	942.475	943.475	945	948	950	952	954	957	958	960	962	966	967.475	969	971.475	973	976	977	979	981	983	985	987.475	990	992	994	996	998	999.475	1002.475	1004.475	1006.95	1010	1012	1015
Florida	19805.475	19910	20017	20125.475	20233	20339	20448.475	20549	20653	20759.425	20860.475	20958	21055	21149	21244.475	21342	21431.425	21523.475	21610.475	21698.425	21781	21863	21955	22033.95	22112.475	22193.425	22272.475	22356.475	22438	22514.475	22593	22665.95	22743	22809.475	22885.475	22956.95	23029.9	23101.275	23166.475	23240.425	23305.95	23379.95	23450	23524.95	23593.375	23664.95	23739	23810.475	23875.95	23945	24017.425	24085.9	24152.85	24223.425	24290.85	24364.375	24426.65	24499	24571.225	24636.85	24705.9	24773	24836.95	24898.95	24961.9	25036.425	25092.8	25164.95	25234.425	25299.475	25359.8	25434.475	25497.425	25563.425	25628.475	25698.425	25766.9	25840	25907	25972.475	26035.9	26102.425	26161	26225.475	26295.475	26361.9	26432.85	26500.8	26569.95	26628.85	26689.85	26756.425	26820.9	26891.475	26955.375	27019.95	27083	27148.425	27212.475	27280.375	27344.75	27408.225	27474	27543.275	27613.6	27687	27757	27818.8	27882.125	27951.75	28017.9	28092	28160.425	28226.9	28294.475	28356	28421.475	28491.425	28554.95	28619.9	28682.475	28738.95	28811.475	28876	28942.425	29010.475	29069.9	29127.475	29198	29257.475	29323.425	29394.8	29454.95	29529.175	29594.85	29651.475	29710.475	29778	29846.475	29914.95	29978.95	30051.475	30112.75	30176	30232.6	30305.75	30368.375	30434.75	30498.375	30562.85
Georgia	10079	10138	10198	10260	10320	10381	10440	10500	10557.95	10619	10675.475	10733.475	10792.475	10853	10907	10958	11012	11063.475	11114	11164	11210	11258.475	11307.475	11354.95	11400.475	11448	11496	11540.425	11589	11634	11678	11719.475	11766	11811	11849.95	11897.475	11941	11982	12023.425	12060.95	12110.475	12153	12193.475	12227.95	12270.9	12312	12355.375	12393.95	12433.475	12474.475	12517.9	12558.95	12600.425	12640.475	12676.9	12719.475	12764.425	12804.425	12842.475	12878.475	12927.425	12966.475	13004.475	13042.475	13083	13123	13160	13202.375	13238.9	13277.475	13315.8	13350.95	13392.475	13429.95	13468.9	13503.9	13546.375	13587.475	13627.95	13668.425	13708	13749.425	13790.475	13827.475	13865.95	13901.325	13941.95	13982.475	14019.425	14058.475	14093.85	14134	14173.425	14210.475	14251.95	14294.475	14333.95	14370.475	14412.475	14452.9	14491.9	14526.425	14564.475	14607	14644.9	14687.475	14726.425	14767	14804.9	14843.95	14884	14924.475	14956.475	14997.275	15036.95	15077.425	15115.475	15153.95	15192	15231	15264.425	15299	15341.475	15381.475	15424.475	15459.9	15498.325	15535.475	15576	15620.9	15661.475	15699	15734.95	15776.95	15812.85	15852.475	15893.375	15933.9	15971.9	16011.475	16055.85	16087.475	16128.425	16168.75	16209.9	16254.425	16290.475	16328.425	16361.8	16399.8
