State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	4151	4205	4258	4310	4360	4412	4462.525	4512	4563.525	4612	4661.525	4712	4763	4810	4858.525	4911.525	4962.525	5013	5065.05	5114.525	5163.575	5218	5266.525	5324.525	5372.525	5421.575	5478.525	5531	5581.525	5636	5691.05	5741.525	5796	5850.525	5903	5958	6012.525	6067.575	6116.525	6174	6227.05	6278.05	6337.525	6394.575	6444.1	6499.525	6557.525	6613	6668.525	6719.525	6780.625	6839	6898.525	6948.525	7002.1	7060.1	7113	7167.525	7227.1	7282.525	7341	7403.575	7458.05	7519.525	7582.575	7638.525	7698.05	7757.575	7809.05	7871	7937.525	7990.525	8041.05	8102.525	8163.525	8224.525	8279.775	8334.25	8391.575	8447.575	8504.525	8564.15	8620.575	8678.675	8740.525	8799.05	8863.825	8917.1	8970.15	9031.675	9089	9155.1	9214.25	9269.1	9332.2	9390.975	9451.25	9518.4	9577.45	9639.35	9700.625	9757.15	9813.2	9881.575	9937.05	10000.625	10059.3	10124.575	10192.05	10242	10303.825	10363.625	10429	10483.05	10548.775	10603.15	10674.575	10736	10797.15	10852.1	10912.625	10978.625	11046.625	11103.25	11167	11220.625	11281.725	11338.525	11399.25	11473.575	11528.2	11595.575	11660.3	11728.3	11787.35	11839.05	11896.575	11958.825	12022.3	12097.625	12155.6	12230.575	12299	12361.5	12418.475	12482.85	12545.1	12593.8	12651.05	12712.325
Arizona	7337	7419.525	7499	7578	7656	7733	7808	7883.525	7959.525	8034.525	8107	8180	8255	8330.525	8407	8478.525	8554	8626.525	8699	8772.525	8846	8922	8995	9072.05	9145.525	9224.525	9299	9374.525	9447.525	9523.525	9600.525	9671.525	9747	9824	9903.1	9978.525	10056.525	10127	10203.525	10276	10345	10419.575	10499.525	10574.625	10652.05	10728.15	10803.525	10878.525	10955.05	11032.15	11101.575	11179.1	11265.525	11341.525	11417.2	11491.1	11571	11647.05	11731.05	11800.675	11878.15	11944.675	12013	12097.525	12172.525	12248	12326.725	12399.1	12479.1	12559.575	12640.1	12712.05	12784.625	12869.525	12941.1	13020.05	13099.825	13187.575	13256.625	13328.825	13409.1	13490.05	13573.05	13646.725	13731	13802.35	13886.05	13963.675	14037.625	14116.35	14196	14270.05	14347.575	14425.35	14516.05	14605.525	14671.1	14745.3	14822.3	14903	14983.15	15064.05	15140	15225.1	15290.325	15353.55	15427.7	15509.35	15591.525	15668.575	15751.15	15827.625	15911.775	15990.525	16059.675	16139.875	16220	16289.875	16385.925	16470.65	16529.825	16612.125	16697.675	16773.575	16847.625	16928.575	17010.675	17094.025	17177.6	17255.675	17322.25	17389.2	17474.25	17555.05	17637.825	17712.925	17797.025	17869.35	17947.45	18027.975	18098.15	18166.725	18245.15	18335.35	18410.3	18488.3	18559.2	18637.25	18718.1	18806.4
Arkansas	2926	2969	3013	3054.525	3099	3143	3186	3229	3272.525	3317	3361	3405.525	3449.525	3494	3536	3581	3628	3674	3722.525	3768.525	3815	3863	3911	3959	4008	4055	4100	4151.525	4202	4252	4299.525	4348.525	4401	4447	4498	4549	4604.525	4652.525	4695.525	4749.05	4802.525	4852	4906.1	4960	5012	5063.525	5117	5163	5217	5269.05	5321.525	5374.05	5428.05	5482.525	5533.525	5585.05	5642.525	5689.525	5744.525	5800	5856.525	5907.525	5959.525	6018.525	6073	6124.575	6179.525	6240	6291.525	6348.05	6401.525	6459	6516.525	6572.525	6623.05	6679	6738	6799	6846.05	6909	6964.15	7024.1	7076.525	7130.05	7184.05	7235	7295.525	7349.525	7406	7465.05	7516.525	7572.05	7635.15	7691	7749.575	7805	7860	7920.05	7975	8041.525	8100.625	8161.575	8211.525	8262.525	8327.15	8381	8446	8499.05	8565	8626.05	8687.625	8750	8810.525	8861.05	8913.525	8979.675	9031.125	9094.75	9141.25	9200.3	9266.5	9326.15	9382.15	9446.05	9506.675	9564.15	9612.575	9681.15	9734.825	9790.775	9851.625	9912.575	9968.525	10030.25	10087.05	10140.1	10206.725	10277.525	10337.875	10403.05	10459.25	10517.575	10570.525	10634	10695.05	10750.2	10810.775	10874.2	10946.1	11006.2
California	21023	21237	21446	21649.525	21848.525	22041	22235	22427	22620.525	22813.05	23006.525	23193.525	23384.525	23576.525	23773.525	23972.525	24173	24365	24558.525	24758	24961	25157	25347.1	25550	25738	25931.575	26139.575	26338	26540.1	26740.525	26931	27133.525	27328.1	27532.625	27728.525	27932.675	28141.05	28338.05	28535.575	28732.575	28939.2	29141.875	29344.1	29546.525	29747	29951.625	30156.25	30365.675	30579.525	30784.1	30988.575	31193.2	31394	31600.525	31812.625	32003	32216.15	32428.525	32635.1	32845.675	33062.05	33257.2	33452.05	33670.575	33879.525	34104	34301.525	34519.525	34716	34925.525	35129.825	35327.05	35542.15	35757.625	35962.15	36167.1	36380.05	36586.625	36789.5	36999.575	37221.525	37434.15	37644.25	37857.1	38064.525	38286.525	38506.525	38711.05	38922.35	39126.675	39341.525	39551.675	39781.525	39989.525	40197.775	40415.1	40635.775	40827.1	41038.725	41259.525	41471.05	41676.05	41893.1	42107.675	42313.525	42537.2	42747.875	42961.05	43179.35	43382.875	43596.675	43807.525	44026.725	44241.25	44449.975	44675.2	44886	45094.1	45300.2	45505.675	45712.05	45932.675	46152.7	46363.975	46570.575	46804.675	47012.05	47226.575	47445.25	47663.4	47901.525	48128.5	48358.15	48568.625	48788.525	48990.575	49206.575	49400	49614	49819.1	50039.525	50263.4	50471.65	50691.3	50903.075	51114.75	51333.6	51543.95	51756.825	52000.975
Colorado	3969	4080	4190	4295.525	4402	4509	4611	4712.525	4816	4921	5026	5125	5231.05	5330.525	5432	5534	5639	5738.525	5841	5943	6050.525	6155	6254.575	6356.525	6460.525	6564.525	6664.675	6769.575	6876.575	6980.525	7083.525	7186.1	7288	7390.525	7491.525	7596.575	7704.05	7799.05	7906.525	8006.525	8116	8221.05	8325	8435	8541	8642.1	8749.575	8848	8956.525	9060.525	9170.675	9263	9365.575	9472.625	9575	9675.575	9794.525	9888.575	9992.625	10100.625	10209	10314.525	10428.525	10534	10641.525	10755.25	10862.525	10962.05	11061.575	11175.575	11279.825	11383.05	11490.15	11591.45	11696.625	11805	11915	12027.525	12126	12233.525	12336.05	12448.05	12554	12665.525	12773.1	12880.525	12995.575	13108.05	13204.525	13322.05	13428.575	13539.05	13650.05	13747.775	13856.575	13963.575	14071.575	14180.5	14287.675	14398.3	14502.775	14619	14721.05	14831.1	14932.2	15049.05	15143.725	15260.2	15357.575	15460.15	15568.05	15687.05	15811.3	15910.1	16020.05	16133.675	16238.3	16345.725	16452.975	16556.075	16658.1	16768.1	16885.2	16977.2	17095.975	17191.775	17295.575	17403.05	17516.05	17635.975	17740.575	17859.075	17978.825	18080.65	18195.1	18297.4	18408.4	18536.825	18648.575	18759.625	18866.525	18983.15	19095.025	19191.775	19300	19411.675	19508.4	19632.725	19736.55	19840.625
Connecticut	5414	5459	5501	5540	5580	5619	5656	5694	5734	5772	5810	5845	5885	5923.525	5959	5995	6032.525	6070	6106	6143.525	6181	6217.525	6255	6292	6327.525	6366.525	6402.525	6439.525	6478	6515.525	6553	6593.525	6631	6669	6706	6746	6782	6818.525	6857.05	6896.05	6933	6972	7009	7046.525	7082.525	7123.05	7162.525	7201.575	7237.525	7279.525	7319	7355.525	7390	7429	7468	7508.05	7549.575	7584	7624	7660.525	7697	7734.525	7771.525	7816.525	7858.05	7895.05	7933.575	7973.525	8012	8053	8088	8126.05	8163.575	8205.525	8244	8283.05	8324.05	8359.05	8398	8439.1	8479.1	8519	8557.525	8599.05	8642.05	8685.625	8724.675	8761.575	8799.575	8836	8874.525	8918.625	8954.575	8992.05	9030.525	9075.525	9113.525	9154.575	9191.575	9228.575	9272	9314	9357.525	9398.05	9440.525	9481.05	9515.15	9560.05	9599.05	9640.525	9681	9722.525	9761.675	9801.525	9840.05	9879.05	9922.575	9962	9999.05	10038.625	10077.525	10114.575	10154.1	10197.525	10238.05	10277	10322.625	10369.675	10402.05	10433.525	10471.525	10511.525	10556.05	10589.525	10632.575	10673.525	10710.775	10752.2	10794.575	10847.15	10876.925	10917.25	10960.775	11004.05	11045.625	11086.675	11128.2	11164.575	11208.15	11255.05
Delaware	822	832	842	851	859	869	877	886	894.525	902.525	910.525	919	926	934	942.525	951	958.525	965	974	982	989.525	997	1005	1011.525	1020	1028	1035.525	1043	1049	1058	1066	1074	1081	1089.525	1097	1105	1111.525	1120	1126.525	1134	1142	1150.525	1159	1164.525	1173	1180	1190.05	1198	1206	1213	1221.525	1228	1236.525	1246	1254.525	1261	1270	1278	1287.525	1295	1301	1309.525	1320	1326.525	1336.525	1342	1351	1356	1367	1376.525	1384.525	1392	1398	1406.525	1414.525	1422	1431.525	1439	1447.05	1452.525	1461.525	1469	1478	1485.575	1494	1499	1505.05	1515.525	1524	1533.525	1542	1551	1559	1570	1579.525	1587.05	1592.575	1601	1608.525	1617	1624	1632	1639.05	1650	1658.525	1666	1674	1686	1692.05	1703.05	1709.525	1719	1725.525	1732	1742.525	1752.525	1758	1765.525	1772.525	1781	1790.525	1801	1807	1815.525	1824.525	1831	1839	1848	1857.525	1869.525	1876.05	1886	1896	1903	1909.575	1918	1925.525	1935.05	1939.525	1950.525	1959	1966.05	1977.05	1989.525	1996.05	2005	2011.525	2018.05	2026.05	2035
DistrictofColumbia	715	720	723	727	730	733	736	740	743	745	748	751	755	758	760	763	766	769	772	775	778	781	783	787	790	793	796	799	802	805	808	810.525	814	817	820	823	825	827.525	831.525	834	837	839.525	842	845	847.525	850	853.525	857	859	863	865	868	871	874	876.525	879	883	886	888	892	895	898	901	904	907	910	913	915.525	919	921.525	925	928	931.525	934	937	940	943	946	949	952.525	955.525	958	962.05	964	967	970	973	977	980	983.525	987	990	993	995	998	1001	1004	1006	1009.525	1012.525	1015	1019.525	1022	1025	1028	1031	1034	1038	1040	1043	1046	1049	1053.525	1056.525	1059	1062	1065	1068.525	1071	1073.525	1077	1080.525	1083	1086.525	1089.525	1094	1097	1100	1104	1106	1110	1112.525	1116	1120	1122	1124	1127	1130	1133	1135.525	1138.525	1142	1146	1148.525	1151	1155	1157	1160.525	1164	1167.525
Florida	19865	20000.525	20133	20264	20389.525	20516	20640	20766	20886.525	21009	21124.525	21248.525	21370.05	21490.525	21612	21733	21854	21972.525	22102	22211	22336.05	22455.05	22575	22697.525	22809.525	22929.05	23052.2	23168.525	23288.05	23410	23526	23652.625	23767.525	23894.1	24014.525	24138.05	24254.1	24370	24494	24621.05	24736.525	24852	24970.525	25104	25224	25347.525	25469.525	25584.1	25705.625	25827.525	25951	26078.1	26193.575	26312	26429.1	26542.575	26659.525	26779.1	26897.05	27017.525	27138.1	27266.675	27390.2	27513.675	27625.05	27744.725	27871.05	27995.575	28115.525	28223.675	28335.525	28463.575	28585.925	28691.625	28815.05	28928.575	29051.15	29177	29292.575	29420	29530.1	29657.15	29775.625	29911	30029.15	30144.1	30252.1	30380.3	30489.875	30609.05	30728.775	30850.025	30967.25	31083.525	31218.4	31335.625	31460.1	31577.05	31697.2	31821.5	31947.925	32077.15	32208.325	32321.8	32441.2	32576.875	32693.025	32816.875	32931.625	33043.2	33169.025	33292.925	33401.4	33522.65	33644.1	33768.15	33887.675	34024	34146.775	34276.1	34394.775	34503.625	34622.725	34728.575	34856.725	34970.15	35092.175	35209.15	35335.35	35455.525	35565.7	35688.425	35799.9	35917.3	36034	36156.55	36289.5	36407.45	36526.35	36664.825	36780.925	36894.575	37022.4	37139.15	37260.575	37377.1	37497.2	37622.525	37740.15	37871.075
Georgia	10122	10201	10278	10353	10425.525	10499.525	10569	10638.525	10708.525	10776.525	10848	10916	10987.05	11056.525	11127	11192.525	11264	11331	11399	11472.05	11538.525	11604.525	11676	11744.525	11820	11884.05	11955	12020	12087.525	12154.525	12224.525	12295.525	12358.05	12426.675	12498	12568.575	12638	12704	12776	12848	12914.1	12984.525	13054.525	13127	13195.05	13264.05	13332.525	13402.525	13470.05	13539.525	13605.525	13677.525	13741.15	13808.575	13884.525	13950.525	14018.525	14085	14158.05	14227	14304.575	14366.525	14433	14505.525	14574.1	14653.625	14721	14796.575	14867	14935.1	15011.675	15082.625	15153.1	15228.1	15304.1	15378.575	15436.05	15510.1	15584.1	15648.05	15727.775	15794.525	15865.525	15943.3	16014.675	16092	16168.575	16236.15	16310.575	16382.1	16446	16517.1	16591.825	16664.925	16733.1	16805.05	16878.3	16949.05	17018.05	17081.525	17153.525	17227.575	17295.625	17359.625	17424.1	17499.725	17573.675	17635.575	17702.675	17771.575	17842.575	17908.05	17990.625	18058.625	18132.15	18202.525	18282	18351.15	18415.2	18490.625	18564.525	18639.675	18697.35	18780.1	18848.075	18915.35	18989.775	19066.525	19135.775	19213.5	19273.75	19352.375	19422.875	19480.575	19556.025	19639.75	19708.6	19779.925	19856.575	19929.2	19992.525	20063.825	20129.55	20208.4	20268.675	20339.525	20404.525	20485.15	20551.525	20633.25
