State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	292753	296763	300801	304819.5	308844.5	312846.5	316824	320775.5	324718.5	328674.5	332611	336534	340452	344381.5	348288	352171.5	356067.5	359920.5	363809	367659.5	371498	375320	379167	382978	386794.5	390621	394400.5	398199	401982.5	405770.5	409521.5	413297.5	417027	420806	424562	428317	432032	435749.5	439503.5	443205	446891.5	450620.5	454345.5	458055.5	461734.5	465440	469104	472798	476494.5	480130.5	483775.5	487446	491102	494777	498448.5	502063.5	505655	509313	512971	516583.5	520210	523822	527419.5	531039	534658	538224	541793.5	545409.5	549007	552595.5	556152.5	559700.5	563296	566845.5	570410.5	573975.5	577517	581071	584632.5	588205	591737	595302	598880.5	602419	605957.5	609523	613015	616524	620010.5	623541	627019	630549.5	634042	637535.5	641039	644553.5	648086	651545	655084	658601.5	662090	665597	669015	672522.5	676036	679472.5	682975.5	686443.5	689907	693361	696804	700231	703721.5	707200	710619	714101	717512.5	721038.5	724477.5	727918.5	731351.5	734806	738218	741604.5	745054	748461	751970	755368.5	758735	762175.5	765558	769006	772416.5	775790.5	779216	782566.5	786016.5	789387	792766.5	796169.5	799548	802926.5	806282.5	809667.5	813034.5	816359	819760.5	823101	826507	829878
Arizona	401496	408491	415506	422475	429433	436340.5	443203.5	450013.5	456792	463581.5	470348	477080.5	483794	490493.5	497168	503780.5	510384.5	516991	523543.5	530081	536594.5	543089.5	549570	555988.5	562430	568858	575218.5	581590.5	587912.5	594253	600573.5	606846.5	613181	619463.5	625738	631965.5	638230	644475	650675	656924	663088.5	669241.5	675395	681570.5	687702	693800	699911	706056	712106	718215	724295	730353.5	736381	742370	748405.5	754399.5	760442	766410.5	772439	778424	784427.5	790374	796341.5	802328	808279	814253.5	820224	826083	832037	837983	843906	849845.5	855758	861652.5	867492	873374.5	879248.5	885121	890996.5	896863.5	902746	908542.5	914443	920251	926121.5	931991.5	937789	943580	949322.5	955081	960934	966718	972557.5	978359	984145.5	989930	995712	1001509	1007219.5	1012943	1018632	1024438	1030182.5	1035915	1041616.5	1047406.5	1053184.5	1058954	1064648	1070305.5	1076063.5	1081818.5	1087443.5	1093207	1098837.5	1104484.5	1110113	1115777.5	1121428	1127059.5	1132806	1138468.5	1144121.5	1149717.5	1155399.5	1161008	1166596.5	1172278.5	1177947	1183540.5	1189136	1194762.5	1200385	1206049.5	1211647.5	1217258	1222830	1228402.5	1234020.5	1239510	1245078	1250614.5	1256196	1261789	1267350	1272829.5	1278359.5	1283890.5	1289441.5	1294993
Arkansas	184030	186476	188953	191449	193963	196485	199027	201563	204113	206694	209274	211853.5	214446.5	217046	219658.5	222273.5	224904.5	227538.5	230159.5	232802	235435	238089	240741	243397.5	246057	248713	251356	254020.5	256695.5	259344.5	262022	264688.5	267351.5	270022.5	272698.5	275376	278022	280694.5	283358	286058.5	288712.5	291386.5	294057	296735	299395.5	302049	304721	307388	310049	312710	315349	318030	320662	323330.5	326006	328694	331310.5	333980.5	336631.5	339270	341919	344561.5	347180.5	349829.5	352476	355102	357731.5	360360	363034.5	365636	368293.5	370923.5	373592	376202.5	378819	381423	384073	386685	389301	391950.5	394545.5	397182	399795.5	402411	405020	407648.5	410199	412795.5	415348.5	417925.5	420509	423097.5	425692.5	428329.5	430951.5	433548	436109.5	438718.5	441277	443892.5	446471	449020	451592	454198	456758.5	459323.5	461916	464458.5	467030	469573	472165	474723	477256	479822.5	482359.5	484888.5	487453	490014.5	492576	495131	497703.5	500269	502794.5	505337.5	507907.5	510395	512920.5	515439.5	517977.5	520492.5	523065.5	525573.5	528038.5	530541.5	533058	535534.5	538080	540580.5	543066.5	545571	548078.5	550589.5	553056	555576.5	558033.5	560467	562879	565408.5	567863.5	570286
California	1549161	1581817	1613994	1645908	1677549.5	1708968.5	1740086.5	1770772.5	1801289	1831900.5	1862317	1892622.5	1922698	1952633.5	1982352	2011999.5	2041400.5	2070698	2099958	2128875.5	2157871.5	2186576	2215076	2243647.5	2272006.5	2300208	2328299.5	2356179	2384064	2411952.5	2439752	2467399	2494896	2522335	2549652	2576889	2603880	2631012.5	2657864	2684925	2711605	2738477.5	2765202	2791844.5	2818239	2844732.5	2871146.5	2897585	2923870.5	2950224	2976393	3002501	3028522.5	3054550.5	3080496	3106413	3132221	3158003.5	3183673.5	3209247	3234883	3260336	3285940	3311476.5	3336983.5	3362489	3387864.5	3413289.5	3438603.5	3463937.5	3489033	3514103.5	3539395.5	3564662	3589492.5	3614407	3639640	3664439	3689329.5	3714451.5	3739444.5	3764331	3789175	3814012.5	3838649	3863308.5	3887997	3912686.5	3937438.5	3962150.5	3986706	4011281	4035894	4060443.5	4084927.5	4109572.5	4134003	4158390.5	4182765.5	4207184.5	4231709.5	4256059.5	4280351	4304646.5	4328901	4353315	4377486.5	4401484	4425571.5	4449816.5	4473933.5	4498218	4522342	4546401	4570541.5	4594673	4618753	4642809.5	4666799	4690644.5	4714782.5	4738739	4762583	4786484	4810338	4834110	4858043.5	4881831.5	4905513.5	4929285.5	4953011.5	4976739.5	5000623.5	5024286.5	5048065.5	5071803	5095539.5	5119212	5142948	5166691	5190300.5	5214058.5	5237568.5	5261176.5	5284630.5	5308305	5331797.5	5355174	5378428	5401852.5
Colorado	286069	290491	294957	299394	303821.5	308227	312607	316943	321250	325552.5	329848.5	334092	338349	342574	346785	350975	355113	359305	363438	367584	371667.5	375712.5	379786.5	383853.5	387906.5	391963	395941.5	399937.5	403903.5	407877.5	411815	415722.5	419656.5	423612.5	427503	431421	435327	439164.5	443036.5	446911.5	450755	454586.5	458463	462291	466105	469872	473690.5	477476	481256.5	484997.5	488788	492548	496295.5	500011.5	503750.5	507445	511179	514905.5	518606	522340	526031.5	529733.5	533398	537096.5	540788	544494	548167.5	551831.5	555489	559100.5	562776	566405	570066	573705.5	577333	580929	584510	588176	591763.5	595371	598941.5	602559.5	606141.5	609743.5	613272	616889	620526.5	624099.5	627652	631223.5	634772	638326.5	641879	645426	648963	652493	656067.5	659589	663124	666647.5	670212	673687.5	677193	680712	684189.5	687710	691172	694677	698171.5	701669	705159.5	708590	712040	715523	718969	722400.5	725888	729293	732738	736231.5	739739	743239	746642.5	750085.5	753460	756903	760352	763787	767183.5	770612	774011.5	777452	780803.5	784204	787561	790994.5	794391	797725.5	801108	804410	807812.5	811166	814526.5	817975	821361.5	824747	828148.5	831532	834823	838139
Connecticut	149734	152709	155686.5	158655.5	161616	164551.5	167473	170366.5	173261	176162	179046.5	181913	184767.5	187620	190460.5	193280	196082	198890	201689.5	204442.5	207208.5	209970.5	212708	215437.5	218168.5	220885.5	223600	226279.5	228970.5	231666.5	234363	237000	239660	242310.5	244954.5	247626.5	250250.5	252872	255487.5	258103	260716	263307.5	265903	268494.5	271060.5	273653.5	276219	278780.5	281329.5	283881	286438.5	288995.5	291509	294052.5	296596	299158.5	301665.5	304205.5	306715	309246.5	311731.5	314230	316754.5	319256	321704	324213	326688.5	329162.5	331674	334175	336641.5	339098.5	341569.5	344068.5	346521.5	349028.5	351472	353950.5	356405	358841.5	361311.5	363774	366202.5	368684.5	371143	373555.5	376012	378429.5	380836	383281	385708.5	388152.5	390586.5	393052.5	395502	397907	400320	402747	405126.5	407556.5	409960	412364.5	414731	417151.5	419526.5	421902.5	424322.5	426709.5	429109.5	431453	433805.5	436204	438582	441031	443427	445750.5	448094.5	450516.5	452879.5	455278	457658	459999.5	462316	464664.5	467010	469344	471698.5	474003	476372	478773	481114	483487.5	485802	488134.5	490491	492832	495158.5	497500.5	499813.5	502197.5	504532	506878.5	509252	511609	513940.5	516258	518558.5	520860	523227	525548
Delaware	44723	45631	46540	47448	48355	49258	50160	51057	51952	52849	53746.5	54639	55532	56422	57313.5	58198	59080	59962	60846	61731	62613.5	63486	64368.5	65242	66113.5	66986.5	67856	68725.5	69598	70461	71319.5	72189.5	73055.5	73920.5	74787	75643	76503.5	77363.5	78215.5	79080	79942	80798	81651.5	82505	83359.5	84210.5	85079.5	85920	86767.5	87629.5	88474	89320.5	90173	91025.5	91856	92712.5	93550	94389	95234.5	96087	96927	97766	98614	99454	100298	101138.5	101973	102818.5	103669.5	104503	105343.5	106191	107025	107858	108698.5	109536	110380	111219.5	112054.5	112903.5	113723.5	114566.5	115413	116244	117073	117908	118733.5	119575	120411.5	121239.5	122077	122907	123725.5	124541	125366.5	126212	127032	127878	128702.5	129535	130363.5	131188	132018	132844	133679	134504	135321	136155.5	136969.5	137792	138617	139441	140259	141085	141910	142735.5	143559.5	144378	145199.5	146024	146843.5	147656.5	148499.5	149312.5	150131	150955	151769.5	152602	153417	154232.5	155056.5	155879	156689.5	157517	158335	159137.5	159968	160790.5	161613.5	162420.5	163246.5	164078	164885	165702.5	166521.5	167336	168156.5	168970	169783.5	170588.5
DistrictofColumbia	24672	24986	25302	25618	25934	26250	26563	26880	27193	27508	27821	28134	28447	28760	29075	29389	29701	30014	30325	30639	30952	31264	31577	31889	32198	32509.5	32823.5	33135	33442	33753	34064	34375	34686.5	34995.5	35307.5	35616	35930	36236.5	36545.5	36850.5	37159	37467	37778.5	38084	38401	38709	39014	39322.5	39630.5	39940	40245	40553	40863	41166	41475	41781	42083	42393	42695	43003	43307.5	43615.5	43927.5	44228.5	44533.5	44834	45146	45452	45758	46066	46370	46675	46976.5	47279.5	47594	47893	48196	48498	48801.5	49103.5	49404	49718	50019.5	50320	50629	50925	51232.5	51536.5	51838.5	52142	52442.5	52745.5	53039	53340	53643	53948.5	54256	54554	54856.5	55155.5	55456.5	55758.5	56049	56352	56641.5	56942.5	57244.5	57547	57848.5	58146.5	58439.5	58737.5	59038	59338.5	59630	59934	60233.5	60538	60834.5	61134	61425.5	61726	62025	62329.5	62623.5	62924.5	63221.5	63519.5	63815.5	64112	64406.5	64704.5	65001	65301	65597	65895	66195.5	66488.5	66784.5	67071.5	67368	67663	67956.5	68256	68550	68852	69141.5	69433.5	69724.5	70028.5
Florida	1117812	1129267	1140728	1152106	1163441	1174697	1185871.5	1196905	1207888	1218921.5	1229888	1240800	1251607.5	1262408	1273092	1283826.5	1294458	1304991	1315415.5	1325900	1336396	1346779	1357127.5	1367426.5	1377756.5	1387988.5	1398101.5	1408161	1418190.5	1428193.5	1438259	1448176.5	1458211.5	1468068	1478009.5	1487754	1497526	1507240.5	1516836.5	1526563.5	1536262.5	1545980.5	1555560.5	1565191	1574746	1584182	1593511	1602880	1612315.5	1621676.5	1630956.5	1640310.5	1649580	1658816.5	1667928.5	1677248	1686423	1695577.5	1704721.5	1713896	1723056.5	1732092	1741107.5	1750163	1759301	1768408	1777445.5	1786563.5	1795510	1804575	1813468.5	1822468.5	1831363	1840291.5	1849214.5	1858107.5	1867055.5	1876009	1884775	1893718	1902412.5	1911278	1920066	1928930	1937732	1946515	1955170	1963913	1972715.5	1981528.5	1990234.5	1998991	2007694	2016428	2025051	2033732.5	2042356	2051049	2059736	2068480	2077060.5	2085693	2094439.5	2103057.5	2111704.5	2120403.5	2129028	2137584.5	2146262.5	2154924.5	2163505.5	2172127	2180682	2189232	2197834	2206482	2214996.5	2223569.5	2232146	2240724	2249157.5	2257778	2266231	2274732	2283320	2291682	2300126	2308674	2317143	2325694.5	2334133	2342643.5	2351142.5	2359584.5	2368028.5	2376548.5	2384902	2393313.5	2401655	2410014.5	2418418.5	2426863.5	2435396.5	2443929	2452181.5	2460575.5	2468889	2477355.5	2485796.5	2494183
Georgia	538383	545227	552100	558945	565768	572559	579298.5	585980	592620.5	599277	605904.5	612497	619055	625590.5	632038	638477	644897.5	651291	657654	663981.5	670297.5	676616.5	682871	689101	695318	701463.5	707634	713784	719912	725975.5	732074.5	738178	744237.5	750291.5	756314	762353	768266	774266.5	780158	786139	792030.5	797915.5	803794	809635	815505.5	821299	827128	832891.5	838668	844427	850224.5	855930	861619.5	867363	873156	878845.5	884538.5	890226.5	895890	901565	907288	912958.5	918629.5	924256.5	929902.5	935535	941199	946812	952412.5	957952.5	963508.5	969114.5	974651.5	980225	985710.5	991255.5	996800	1002320.5	1007837	1013318.5	1018854	1024368.5	1029858.5	1035368	1040884	1046344.5	1051844.5	1057336	1062787.5	1068189.5	1073680.5	1079136	1084596	1090070	1095514.5	1100904.5	1106345.5	1111789.5	1117249	1122711.5	1128162	1133628.5	1139087	1144450.5	1149877	1155270.5	1160641.5	1166109.5	1171553.5	1176926	1182260	1187649	1193036.5	1198340.5	1203697.5	1209095	1214466	1219760	1225090	1230402.5	1235733.5	1241084	1246429	1251737.5	1257107	1262442.5	1267738.5	1272991	1278273	1283616.5	1288917	1294197	1299506	1304772	1310080	1315358	1320676	1326000.5	1331225	1336558.5	1341840.5	1347179.5	1352467.5	1357685.5	1362966.5	1368247.5	1373502.5	1378701	1384049	1389338.5
