State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	292628	296575.475	300555.425	304497	308434.375	312307.325	316141	319935.275	323706.475	327481.475	331216.95	334936.65	338644.9	342318.95	345975.275	349593.425	353193.9	356806.275	360364.375	363918.65	367468.95	371012.2	374535.35	378023.375	381487.8	384941.275	388381.925	391876.425	395342.325	398745.95	402171.125	405574.95	408977.95	412391	415791.475	419153.35	422536.95	425907.375	429244.75	432596.85	435940.4	439300.3	442620.275	445920.175	449285.5	452632	455923.35	459241.95	462530.425	465833.275	469136.175	472453.075	475750.5	479058.375	482340.975	485634.9	488928.85	492212.65	495496.35	498778.925	502026.7	505308.5	508551.85	511801.275	515070.85	518331.7	521583.8	524847.475	528048.75	531306.475	534552.85	537798.85	541084.425	544298.925	547529.7	550742.375	553964.75	557195.65	560406.95	563650.025	566874.175	570098	573321.75	576525.5	579728.875	583001.425	586224.575	589403.475	592620.475	595796.125	599017.55	602199.9	605335.8	608529.375	611705.375	614881.65	618086	621263.075	624472.325	627657.4	630858.375	634031.275	637192.8	640330.15	643531.825	646718.225	649836.275	653035.85	656183.45	659380.425	662510.325	665667.15	668828.125	671970.45	675125.625	678278.575	681472.025	684567.475	687723.325	690898.9	694038.3	697141.125	700320.9	703424.025	706552.125	709618.95	712752.9	715877.7	719033.825	722158.275	725302.95	728382.325	731483.6	734607	737694.875	740760.2	743885.55	746974.475	750109.725	753218.375	756309.375	759398.925	762481.975	765623.5	768681.9	771794	774862	777937.7	781021.175	784075.75
Arizona	401327.475	408249.475	415165	422037.475	428862	435621.95	442321.95	448929.9	455501.475	462030.275	468519.9	474951.475	481378.8	487725.95	493999.8	500279.475	506531.75	512734.95	518924.425	525029.6	531115.475	537200.65	543224.775	549214.275	555163.825	561147.7	567082.025	572976.8	578875.55	584675.475	590504.375	596351.8	602140.325	607954.95	613733.025	619469.425	625223.075	630988.325	636710.9	642398.55	648088.075	653781.575	659499.15	665215.125	670814.1	676511.35	682158.25	687792.95	693450.9	699030.45	704645.375	710234.8	715875.375	721496	727018.225	732612.6	738244.05	743875.525	749420.225	755012.475	760561.8	766115.25	771701.325	777260.775	782813.75	788337.325	793874.075	799434.95	804916.425	810416.65	815941.025	821423.625	826920.475	832470.475	837912.525	843365.175	848862.375	854357.55	859845.975	865279.4	870803.2	876254	881735.025	887202.175	892684.325	898151.15	903570.475	908959.125	914348.525	919716.4	925185.725	930618.925	936023.85	941433.55	946884.775	952377.925	957790.025	963169.4	968543.275	973964.275	979372.375	984747.275	990128.025	995513.55	1000927.575	1006264.725	1011660.975	1017047.725	1022385.225	1027793.725	1033047.625	1038506.8	1043884.525	1049220.025	1054600.325	1059986.575	1065301.975	1070631	1076023.9	1081369.85	1086642	1091945.2	1097289.4	1102629.075	1107893	1113195.95	1118452.375	1123784.15	1129058.35	1134415.525	1139673.275	1144957.125	1150158.1	1155417.625	1160680.825	1165898.15	1171242.6	1176460.35	1181706.425	1186932.375	1192193.175	1197381.05	1202658.1	1207813.125	1213087.3	1218290.375	1223495.525	1228728.825	1233931.275	1239181.175
Arkansas	183939	186330.475	188778	191240	193738	196249.475	198761.425	201263.95	203750	206250.475	208760.95	211258	213764.95	216280	218767.95	221270	223761.9	226258.475	228744.95	231232	233710.95	236192.475	238678.425	241177.8	243659.85	246134.225	248610.275	251100.85	253574.9	256047.475	258521.475	260977.65	263459.9	265929.7	268401.95	270873.175	273331.6	275780.9	278225.85	280672.275	283159	285618.9	288062.45	290523.075	292966.425	295395.55	297862.775	300294.9	302727.925	305169.6	307583.325	310028.425	312452.9	314899.9	317328.425	319731.95	322164.425	324592.9	327021.625	329453.95	331881.05	334274.95	336672.625	339086.8	341523.4	343930.125	346330.925	348692.875	351115.8	353541.425	355967.8	358376.85	360769.225	363180.375	365557.7	367987.75	370369.275	372746.675	375109.55	377508.15	379904.65	382268.325	384668.575	387057.525	389388.675	391780.95	394169.025	396538.525	398882.6	401260.275	403665.7	406036.85	408391.05	410749.65	413099.425	415472.9	417813.85	420210.8	422554.025	424905.425	427239.875	429572.025	431919.05	434274.975	436640.95	438980.125	441323.425	443647.7	445970.975	448301.8	450617.425	452937.875	455278.7	457602.75	459948.425	462276.225	464613.575	466937.6	469226.175	471551.85	473883.2	476220.65	478505.325	480836.95	483126.85	485440.15	487750.55	490116.325	492389.55	494698.55	497014.3	499317	501579.45	503868.225	506123.125	508428.8	510742.5	513057.85	515323.75	517597.2	519917.65	522163.225	524458.65	526714.725	528973.275	531257.55	533527.95	535810.225	538071.35	540325.85
California	1548727.425	1581107	1612788.65	1643859.95	1674514.825	1704704.325	1734452.325	1763480.9	1792267.8	1820912.325	1849223.475	1877146.65	1904991.55	1932320.975	1959357.925	1986322.925	2012838.725	2039320.55	2065497.4	2091325.425	2117041	2142642.075	2167993.55	2193225.875	2218136.375	2243131.925	2267726.6	2292416.3	2316883.75	2341141.525	2365440.875	2389477.475	2413484.175	2437411.825	2461215.1	2484884.35	2508543.875	2532104.9	2555552.275	2579048.225	2602409.35	2625695.35	2648863.3	2672042.225	2694953.075	2717983.45	2740818.025	2763599.025	2786550.175	2809296.9	2832124.325	2854783.975	2877496.925	2900220.525	2922848.975	2945513.3	2968295.75	2990805.325	3013212.35	3035871.2	3058533.15	3080958.375	3103319.85	3125599	3147892.95	3170187.675	3192572.475	3214969.925	3237181.925	3259371.825	3281727.225	3303976.45	3326096.85	3348285.525	3370462.55	3392819.225	3415120	3437307.925	3459381.475	3481351.525	3503325.05	3525519.575	3547600.775	3569474.775	3591304.9	3613406.5	3635288.475	3657225.3	3679134.475	3701231.975	3723270.7	3745097.65	3766736.375	3788555.575	3810265.45	3832208.5	3854020.7	3875977.9	3897728.45	3919632.975	3941447.175	3963135.2	3984801.1	4006660.125	4028465	4050180.475	4071763.65	4093636.425	4115333.325	4137089.5	4158836.7	4180286.225	4201933.975	4223300.975	4244969.225	4266600.825	4287967.175	4309592.95	4331064.35	4352591.925	4374052.7	4395589.2	4416981.75	4438307.05	4459783.95	4481269.1	4502718.7	4524115.125	4545515.725	4566944.575	4588270.175	4609800.475	4631321.95	4652726	4674151.2	4695406.625	4716705.525	4738142.325	4759337.85	4780765.425	4802086.575	4823316.9	4844560.625	4865792.175	4887178.825	4908421	4929760.975	4950840.325	4972154.925	4993410.675
Colorado	285923	290282.475	294667	299014.475	303304	307577.95	311813.95	315993.9	320120.275	324236.375	328272.65	332313.425	336305.9	340259.325	344171.95	348070.8	351927.8	355743.475	359563.7	363348.375	367103.7	370855.75	374567.95	378275.475	381889.075	385535.85	389159.025	392771	396349.425	399964.425	403525.375	407069.375	410578.975	414137.9	417653.45	421164.425	424665.525	428151.9	431601.9	435090.325	438532.225	441998.175	445454.275	448885.475	452270.75	455728.55	459144.9	462534.6	465936.425	469371.125	472745.55	476162.9	479536.8	482912.425	486293.425	489672.875	493053.275	496413.275	499791.875	503123.825	506475.9	509819.85	513181.8	516490.95	519825.925	523192.9	526482.475	529818.7	533170.75	536450.35	539822.575	543067.475	546387.325	549742.025	553027.9	556258.325	559618.325	562921.175	566170.925	569454.4	572743.375	575975.55	579284.075	582510.65	585793	589023.475	592287.7	595525.225	598810.95	602055.425	605286.075	608539.95	611726.65	614936.8	618212.375	621436.375	624704.825	627925.975	631138	634311.9	637553.175	640785.175	643983.95	647205.225	650406	653619.95	656817.55	660004.725	663202.225	666401.325	669611.6	672782.825	675954.7	679121.95	682263.675	685494.8	688610.675	691768.725	694982.45	698125.25	701314.35	704538.55	707703.25	710863.675	714062.85	717211.275	720364.875	723500.5	726613.925	729824.275	732937.85	736018.325	739134.825	742235.025	745372.8	748497.425	751621.95	754807.525	757972.225	761069.2	764216.95	767332.6	770443.25	773546.325	776630.75	779741.8	782750.475	785785.25	788890.55	792005.5
Connecticut	149617.475	152553.475	155494	158398.5	161308.975	164167.45	166987.5	169772.975	172552.925	175313.475	178040.5	180763.3	183439.75	186106.375	188752.95	191380.8	193968.95	196541.425	199107.375	201671.475	204221.925	206772.55	209276.325	211775.75	214226.9	216698.3	219168.775	221597.875	224009.325	226452.025	228867.625	231252.675	233668.925	236087.1	238448.475	240819.8	243191.275	245581.55	247931.9	250250.475	252608.275	254947.975	257283.775	259602.95	261917.3	264228.425	266578.325	268881.675	271190.3	273516.225	275824.1	278131.25	280439.825	282734.425	284984.325	287276.8	289573.275	291863.025	294158.275	296393.225	298658.8	300922.375	303164.275	305450.475	307726	309986.3	312249.2	314509.825	316772.325	319027.9	321268.85	323544.975	325829.425	328084.05	330305.95	332570.4	334808.275	337030.475	339292	341511.3	343767.425	345997.875	348222.8	350486.075	352726.55	354953.35	357188.975	359375.225	361616.85	363817.65	366061.1	368285.925	370508.45	372719	374929.3	377141.375	379346.975	381581.15	383817.8	385980.35	388213.95	390468.4	392653.95	394827.625	397017.225	399231.6	401401.925	403617.425	405834	408020.35	410219.475	412385.75	414602.65	416759.8	418934	421083.375	423274.95	425486.825	427667.9	429838.375	432005.025	434184.85	436343.625	438526.725	440693.4	442886.85	445086.25	447302.425	449472.875	451629.6	453808.45	455900.275	458085.75	460239.925	462382.825	464573.9	466684.325	468803.925	470933.25	473096.175	475262.075	477404.2	479529.85	481689.3	483810.375	485929.55	488092.775	490233.35	492352.35	494502.625
Delaware	44677.475	45565.475	46454	47354	48243	49130.475	50012	50888.9	51764.475	52629	53500	54359.475	55226.95	56080	56940.425	57784	58633.475	59488.475	60327.95	61171	62012.95	62843.475	63683.95	64511	65344.95	66179.95	66999	67836.95	68648.95	69469.425	70303.425	71110.85	71936	72761	73573.475	74388.95	75206	76022.375	76842	77648.85	78464.9	79271.95	80086.95	80897.325	81700.425	82500.375	83317.6	84127.95	84922.85	85745.325	86549.325	87351.95	88161.425	88971.425	89789.425	90592.9	91397.9	92174.95	92997.95	93794.375	94595.95	95398.325	96208.6	97015.225	97828.7	98623	99422	100230.425	101033.95	101825	102621.475	103414.475	104224.425	105018.95	105809.9	106613.75	107413	108203.9	109009.9	109801.275	110598.475	111386.85	112189.475	112976.475	113766.95	114562.8	115365.475	116157.375	116941.225	117743.475	118537.65	119340.75	120128.35	120921	121702.9	122497.475	123284.95	124079.475	124869.9	125658.175	126455.9	127246.475	128046.175	128823.9	129618.425	130408.75	131195.85	131984.475	132781	133563.225	134348.75	135148.4	135938.325	136698.475	137502.125	138309.4	139080.675	139862.9	140637.4	141431.875	142234.9	143014.425	143804.475	144607.85	145385.025	146158.5	146937.175	147713.375	148506.425	149280.95	150092.4	150854.85	151632.425	152411.375	153185.325	153997.35	154784.025	155569.85	156355.075	157132.025	157935.125	158719.075	159509.375	160259.65	161057.075	161819.325	162617.425	163401.95	164186.75	164958.75
DistrictofColumbia	24641	24940.475	25244	25550	25854	26162.475	26467.475	26772	27080	27388.475	27692	27998.475	28298	28600	28904	29208.475	29506.475	29807.475	30110	30409.9	30704.475	31014	31312	31612.425	31908.475	32207.95	32505.95	32806.475	33104.95	33400.475	33703	33997	34306	34599	34893	35185.325	35480	35777.475	36073.475	36364	36658.9	36952	37239.95	37533.95	37829.95	38129.475	38418.425	38711	39005.95	39301.95	39597	39883.95	40177.95	40472.85	40772.475	41051.425	41347.475	41644	41934.475	42224	42518.475	42806.275	43104	43390.475	43682.95	43967	44256.475	44546.95	44835.475	45125	45415.425	45703.475	45998	46294.95	46594.95	46882.9	47180.475	47472	47765.9	48048.475	48339.475	48626.475	48909.475	49196.85	49477.85	49768	50050.95	50351.475	50632.475	50926.475	51213	51488.475	51776.475	52070.95	52357.95	52638.95	52931.475	53221.475	53505.85	53781.95	54068.425	54356.475	54635	54926.275	55212.9	55501.475	55792.95	56083.95	56371.425	56654.425	56941.475	57223.85	57512.325	57784.425	58067.95	58353.65	58639.125	58914.425	59200.475	59489.425	59772.95	60063.95	60345.425	60616.8	60900.375	61176.8	61459.85	61755.325	62039.8	62319.6	62588.85	62886.425	63163.425	63456.95	63740.9	64023.95	64309.95	64594.95	64867.85	65148.425	65421.175	65692.95	65975	66258.85	66551	66832.425	67121	67396.475	67678.375	67959.425
Florida	1117207	1128057.425	1138919.425	1149724.475	1160459.275	1171114.425	1181592.9	1191808.025	1202075.275	1212203.025	1222304.7	1232253.325	1242144.3	1251947.6	1261618.2	1271242	1280786.325	1290243.55	1299616.55	1309099.025	1318251.825	1327280.625	1336349.95	1345454.45	1354419.175	1363263.25	1372181.25	1380945.675	1389651.225	1398415.35	1407071.025	1415591.025	1424236.225	1432720.225	1441158.7	1449648.5	1458038.75	1466397.5	1474659.2	1482885.35	1491184.9	1499405.7	1507544.625	1515642.6	1523772.225	1531952.675	1539951.575	1548027.6	1556058.725	1564107.525	1572145.1	1580210.025	1588230.45	1596142.75	1604079.925	1612135.025	1620102.25	1627964.55	1635914.1	1643847.65	1651685.4	1659591.9	1667367.45	1675345.4	1683095.1	1690959.875	1698887.65	1706721.5	1714429.525	1722209.3	1729920.5	1737835.55	1745647.925	1753458.775	1761374.4	1769187.125	1777019.975	1784887.15	1792660.225	1800451.975	1808245.925	1816079.925	1823927.7	1831751.95	1839470.65	1847167.15	1854756.975	1862477.85	1870170.225	1877887.6	1885535.725	1893241.3	1900827.075	1908483.475	1916162.475	1923792.6	1931465.45	1939076.175	1946703.475	1954322.625	1961940.225	1969693.9	1977351.475	1985114.35	1992792	2000441.275	2008053.825	2015659.95	2023403.65	2030983.375	2038514.475	2045946.225	2053597.4	2061116.075	2068776	2076285.6	2083898.625	2091423.45	2098938.55	2106489.5	2114017.9	2121593.4	2129082.825	2136579.475	2144137.25	2151750.5	2159263.675	2166781.225	2174364.05	2181863.475	2189339.05	2196805.6	2204263.4	2211643.275	2219123.675	2226609.2	2234061.375	2241603.425	2248983.1	2256417.3	2263848.925	2271356.05	2278817.975	2286312.45	2293622.8	2301162.475	2308587	2316163.025	2323598.975	2330999.325
Georgia	538214.475	544988	551762	558516.475	565210.375	571819.95	578377.175	584841.475	591218.475	597565.975	603871.7	610118.8	616272.475	622406.8	628508.375	634506.9	640481.75	646409.75	652287.425	658133.9	663964.6	669724.95	675466.425	681119.175	686769.325	692390.025	697978.425	703507.375	709059.95	714588.375	720094.95	725571.275	731039.425	736474.175	741854.225	747208.8	752617.025	757971.125	763348.175	768649.275	773954.025	779248.375	784567.55	789835.425	795135.975	800425.775	805668.85	810883.75	816159.475	821432.175	826682.65	831855.725	837075.325	842294.475	847480.35	852597.85	857762.75	862925.65	868103	873288.475	878436	883665.55	888835.375	893933.7	899119.9	904277.325	909434.5	914599.95	919681.5	924823.45	929923.8	935050.925	940210.225	945300.95	950419.375	955516.225	960635.4	965740.25	970844.875	975928.125	980953.225	986032.625	991086.7	996211.5	1001296.95	1006389.125	1011435.8	1016481.425	1021535.85	1026600.5	1031632.325	1036604.25	1041671.175	1046742.375	1051775.375	1056796.65	1061871.125	1066890.675	1071937.425	1077000.65	1082001.425	1087037.2	1092032.875	1097025	1101994.475	1107011.6	1111999.975	1117079.9	1122032.275	1127003.85	1131993.95	1136934.475	1141954.65	1146891.55	1151867.975	1156880.775	1161867.675	1166828.125	1171837.9	1176774.775	1181787.275	1186819.225	1191772.225	1196734.25	1201751.35	1206715.65	1211704.7	1216666	1221598.6	1226510.025	1231454.125	1236311.975	1241238.825	1246182.425	1251166.9	1256042.7	1260976.55	1265833.375	1270768.525	1275696.65	1280576.125	1285468	1290379.275	1295276.475	1300134.95	1305056.2	1309940.9	1314830.875	1319682.05	1324603.45
