State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Alabama	292867	296937.525	301027	305117.575	309241.525	313346.525	317445.15	321548.625	325672.05	329821.05	333976.05	338166	342351.15	346562.575	350758.05	355005.2	359229.3	363500.675	367710.1	371963.225	376229.3	380492.35	384741.625	389036.55	393347.35	397666.1	401929.525	406242.525	410508.05	414821.525	419163.725	423436.4	427753.65	432072.675	436472.575	440768.575	445110.15	449443.8	453742.45	458133.675	462457.875	466778.35	471124.05	475539.925	479880.775	484254.875	488622.15	493009.7	497377.3	501708.625	506140	510514.875	514924.4	519306.7	523684.15	528150.25	532448.45	536888.2	541304.975	545642.925	550070.8	554384.075	558826.875	563284.2	567607.25	572030	576426.5	580782.825	585182.85	589559.525	593934.025	598285.375	602706.1	607142.925	611526.625	615913.175	620249.25	624654.1	629109.6	633461.275	637870.775	642212.6	646565.825	651011.175	655459.85	659840.775	664242.675	668619.725	672978.525	677343.9	681655.05	686038.675	690396.975	694738.05	699124.225	703567.125	707977.1	712362.05	716728.525	721106.6	725551.575	729908.825	734233.075	738586.15	742876.75	747305.575	751677.575	756033.175	760377.675	764782.875	769227.7	773528.625	777898.35	782216.05	786512.8	790886.975	795256.925	799632.775	804021.3	808376.2	812690.175	817034.2	821313.875	825607.1	829956.15	834257.5	838573.875	842949.9	847248.6	851545.25	855869.425	860179.225	864484.55	868827.3	873153.475	877464.5	881758.125	886040.7	890337.975	894619.35	898971.75	903238.775	907533.575	911859.875	916161.825	920438.25	924691.65	928945.85	933173	937473.7
Arizona	401652.525	408731.525	415846.575	422901	430005	437083.525	444173	451217.525	458229.525	465293.1	472354.3	479437	486484.3	493569.525	500646	507735.25	514811.225	521873.825	528976.05	536056.575	543127.1	550253.775	557307.575	564390.775	571456.2	578514.15	585579.825	592667.2	599742.5	606847.65	613909.675	620961.05	628006.675	635110.4	642151.65	649240.025	656256.375	663345.35	670397.05	677408.925	684442.625	691498.4	698528.25	705503.4	712579.5	719603.45	726667.525	733730.15	740773.925	747865.475	754861.725	761931.525	768924.175	775923.3	782960.25	789985.325	797081.3	804071.85	811004.625	817954.325	824956.575	831916.8	838925.675	845903.8	852864.65	859804.075	866814.75	873794.225	880805.05	887798.775	894843.65	901833.725	908727.725	915611.225	922668.975	929636.575	936581.075	943520.15	950501.875	957487.025	964414.1	971286.85	978230.85	985123.575	992056.675	998952.925	1005805.25	1012769.475	1019737.15	1026672.55	1033562.5	1040436.275	1047291.9	1054183.375	1061078.5	1068006.825	1074912.6	1081697.5	1088606.9	1095463.45	1102257.525	1109163.525	1116012.375	1122815.25	1129618.975	1136468.9	1143333.925	1150134.55	1156866.1	1163722.85	1170503.775	1177280.225	1184088.625	1190863.225	1197683.175	1204444.275	1211294.975	1218071.875	1224846.675	1231665.65	1238391.375	1245068.225	1251799.325	1258602.85	1265387.125	1272154.75	1278948.825	1285661.45	1292374.875	1299066.55	1305758.225	1312451.925	1319141.95	1325840.975	1332537.65	1339169.7	1345871.875	1352527.575	1359203.575	1365897.575	1372502.775	1379167.525	1385851.6	1392522.1	1399149.25	1405837.725	1412357.175	1418942.3	1425571.625	1432249.15
Arkansas	184124	186623.525	189137	191651.525	194181.525	196727.05	199306	201883.525	204470	207103.525	209757.575	212442	215138.575	217877.1	220588.525	223334.525	226118.625	228887.675	231697.675	234504.1	237332.625	240181.525	243025.05	245871.675	248763.575	251656.05	254555.575	257469.15	260367.675	263276.45	266217.625	269145.15	272092.825	275033.625	278012.775	281003.1	283993.275	287003.05	290054.5	293018.575	296019.525	299067.65	302119.625	305134.25	308199.05	311241.525	314283.1	317319.3	320392.05	323464.65	326512.525	329581.1	332671.1	335800.1	338854.675	341950.525	345059.725	348173.725	351288.725	354383.025	357514.15	360664.075	363803.3	366922.725	370068.35	373204.65	376357.45	379521.15	382689.175	385837.625	389001.4	392141.35	395275.725	398454.225	401558.8	404726.325	407907.775	411088.525	414233.075	417395.525	420584.05	423768.775	426899.425	430064.525	433218.775	436399.625	439557.25	442782.725	445959.775	449139.225	452320.65	455518.6	458702.875	461878.3	465118.5	468352.675	471512.525	474707.6	477923.2	481089.575	484284.425	487487.55	490648.425	493828.35	496981.525	500175.325	503382.875	506589.775	509765.65	512942.325	516155.05	519281.4	522444.3	525672.55	528835.125	532076.55	535260.4	538410.825	541609.425	544822.625	548004.35	551185.75	554349.325	557545.1	560730.725	563895.825	567113	570237.575	573453.4	576645.7	579827.725	582971.1	586195.65	589340.35	592544	595713.125	598869	602036.3	605224.475	608387.7	611543.025	614716.475	617909.1	621097.4	624252.35	627390.15	630557.125	633740.675	636876.725	640017.05
California	1549585.1	1582564.525	1615203.2	1647844.8	1680347.2	1712904.725	1745354.525	1777643	1810036.15	1842593.625	1875258.2	1907976.25	1940733.45	1973551.525	2006228.025	2039027.4	2071840.075	2104719.575	2137569.825	2170428.5	2203477.925	2236268.15	2269182.8	2301991.025	2334935.8	2367838.475	2400737.675	2433812.8	2466894.125	2499908.65	2532875.125	2566003	2598851.475	2632132.175	2665046.875	2698141.1	2731255.475	2764274.15	2797397.9	2830524.8	2863551.325	2896557.975	2929612.35	2962805.425	2995892.525	3029112.85	3062427.375	3095442.225	3128563.325	3161765.425	3194954.9	3228151.375	3261146.325	3294186.525	3327216.15	3360253.375	3393256.8	3426403.65	3459607.625	3492687.025	3525838.35	3559119.125	3592335.8	3625308.525	3658394.4	3691632.15	3724506.225	3757624.575	3790568.1	3823691.8	3856791.5	3890004.825	3923038.475	3956039.125	3988997.075	4022059.425	4054992.15	4087911.325	4120876.4	4153798.35	4186919.425	4219951.375	4252882.7	4285776.175	4318734.425	4351647.3	4384679.9	4417596.825	4450601.85	4483418.775	4516339.325	4549210.675	4582046.875	4614864.7	4647780.525	4680603.475	4713406.65	4746175.15	4779070.925	4811741.2	4844167.775	4876893.425	4909821.125	4942569	4975405.4	5007930.2	5040692.45	5073180.425	5105874.6	5138549.55	5171100.775	5203694.5	5236377.15	5269064.325	5301700.9	5334226.225	5366879.025	5399312.925	5431734.625	5464345.575	5496643.85	5529286.5	5561616.3	5593844.7	5626242.325	5658658.225	5691090.1	5723443.3	5755924.75	5788325.55	5820613.225	5852783.2	5885015.35	5917259.625	5949408.025	5981525.65	6013709.65	6045823.775	6077929.375	6109939.75	6142090.4	6174134.075	6206205.35	6238110.975	6270222.85	6302232.825	6334106.725	6365928.025	6397804.75	6429715.8
Colorado	286198	290707	295243	299787	304323.575	308860.525	313400.575	317914.525	322448.15	326992	331551.35	336117.775	340656.625	345214.05	349736.05	354310.725	358854.1	363412.05	367947.725	372493.05	377043.15	381613.175	386182.725	390718.05	395256.45	399772.625	404357.15	408950.6	413493.3	418092.05	422653.25	427179.05	431719.475	436287.4	440883.875	445430.625	449945.775	454506.25	459044.775	463595.325	468131.275	472672	477207.725	481765.225	486316.3	490779.5	495291.525	499812.2	504344.975	508962.1	513522.975	518028.575	522555.3	527109.525	531615.625	536124.075	540629.4	545166.775	549655.925	554162.45	558626.125	563129.6	567611.025	572164.75	576644.3	581114.25	585631.125	590132	594682.825	599164.925	603643.35	608164.275	612618.075	617056	621567.675	626006.15	630519.925	635029.15	639450.225	643913.475	648409.625	652893.5	657290.45	661783.775	666222.125	670576.875	674988.2	679381.6	683890.75	688344.775	692729.55	697109.625	701560.7	705947.325	710416.275	714810.125	719194.5	723592.8	728017.6	732381.4	736814.65	741193.125	745576.125	749913.2	754331.325	758747.25	763129.775	767507.425	771884.45	776175.4	780553.35	784951.275	789249.075	793651.25	798047.85	802409.8	806726.275	811090.925	815442.85	819779.4	824086.9	828432.875	832738.95	837033.2	841327.25	845603.7	849926.25	854240.075	858522.275	862865.225	867148.6	871373.1	875683.2	879929.1	884213.725	888541.475	892883.825	897120.15	901328.3	905572.425	909903.75	914172.55	918312.925	922555.075	926727	930961.2	935211.85	939470.375	943705.275	947865.525
Connecticut	149835	152853.525	155884	158911.5	161934.55	164956.5	167978.025	170983.225	174001.125	177031.575	180028.6	183083.025	186093.1	189111.625	192126.05	195146.575	198149.575	201168.25	204185.05	207233.4	210231.6	213252	216238.525	219273	222296.15	225330.6	228332.025	231381.6	234420.25	237413.825	240427.85	243436.75	246471.75	249506.3	252510.25	255537.675	258533.825	261550.05	264578.075	267572.875	270574.075	273593.6	276605.575	279607.25	282620.45	285617.525	288583.675	291619.025	294600.5	297616.6	300607.25	303574.775	306555.475	309554	312546.35	315546.1	318522.8	321519.05	324551.525	327532.1	330510.875	333491.1	336505.15	339510.725	342468.175	345424.725	348395.8	351361.05	354326.525	357312.475	360297.575	363263.075	366248.3	369229.95	372214.675	375168.4	378158.375	381098.1	384058.75	387033.325	390009.025	392946.175	395980.15	398919.475	401887.6	404863.225	407805.625	410739.9	413713.325	416674.9	419583.55	422607.675	425557.075	428490.525	431372.3	434270.275	437237.65	440222.55	443139.925	446071.625	448981.325	451879.775	454797.575	457719.175	460699.025	463627.9	466480.25	469438.025	472427.7	475309.775	478220.175	481130.075	484027.85	486936.35	489856.475	492762.05	495668.5	498567.725	501449.025	504375.4	507264.625	510114.25	513014.025	515921.525	518828.2	521737.525	524620.675	527491.625	530336.85	533214.675	536121.525	539016.65	541869.825	544719.25	547606.525	550465.025	553336.15	556189.425	559033.025	561873.85	564751.725	567634.1	570497.6	573361.225	576214.75	579073.975	581895.125	584772.2	587579.425	590409.35
Delaware	44769	45701.525	46626	47550	48467	49393.05	50307.525	51223.525	52141	53059	53980	54899	55822.525	56743.05	57666.1	58590.525	59516.525	60443.525	61362.625	62290	63213.625	64152	65070	65999.05	66921.1	67858.525	68784.05	69704.525	70633.575	71570.05	72493.05	73431.525	74351.525	75286	76213.525	77146.675	78079.05	79008.675	79925.525	80860.625	81799.575	82723.05	83654.1	84576.15	85509.575	86432.575	87371.575	88308.3	89237.3	90165	91101.525	92046.825	92975.525	93903.05	94837.575	95766.875	96691.3	97632.05	98553.525	99486.05	100412.35	101350.15	102286	103222.15	104135.05	105084.15	106017.675	106946.875	107865.675	108813.575	109733.25	110651.525	111581.1	112517.1	113449.625	114376.05	115295	116227.25	117144.1	118072.2	119013.5	119959.1	120888.525	121798.575	122735.05	123672.05	124602.525	125553.675	126474.825	127412	128348.05	129268.3	130193.1	131119.725	132076.25	133002.55	133934.1	134844.35	135773.575	136710.975	137627.325	138552.525	139472.4	140381.2	141332.725	142229	143173.05	144100.075	145009.05	145939.05	146861.525	147789	148741.2	149661.45	150585.3	151541.2	152461.575	153388.775	154303.35	155226.025	156179.45	157118.875	158034	158946.775	159877	160793.625	161728.25	162665.1	163579.35	164488.675	165421.15	166323.05	167284	168220.2	169138	170035.2	170966.675	171898.675	172831.525	173738.15	174648.1	175548.1	176474.05	177400.1	178311.4	179226.575	180123.725	181044.575	181981.4	182897.25
DistrictofColumbia	24705.525	25034.525	25360	25687.525	26009.525	26334	26658	26983	27304	27630.525	27951	28278.525	28606	28928	29259.525	29579	29901.525	30231	30556.05	30882.525	31209	31538	31862.525	32195.575	32520	32850	33168.05	33493.05	33825.05	34152.625	34482	34809.1	35141.1	35476.525	35804.575	36133.05	36463.05	36790.525	37124.575	37457.525	37786.1	38122.575	38452.525	38782.05	39121.1	39449.575	39780.05	40105.625	40429.525	40759	41093.525	41430.575	41755.05	42092	42426.525	42753.525	43080.575	43416.525	43746.625	44081.05	44412.575	44739.05	45065.625	45402.575	45740.05	46064.2	46410.575	46724.525	47066.2	47398.05	47732.575	48047.525	48399.15	48721.625	49053.525	49387.525	49713.05	50045	50372.1	50713.2	51052.05	51375.05	51711.2	52028.1	52368.875	52712.65	53043.675	53373.1	53703.05	54029.1	54355.05	54687	55030.15	55347.2	55675.6	56002.1	56332.05	56660.525	57009.525	57333.15	57660.05	57990.575	58325.1	58648.825	58975.875	59316.875	59637.5	59977.925	60304.7	60637.675	60964.875	61293.775	61620.5	61957.625	62287.625	62627.525	62956.05	63298.725	63628.25	63970.1	64296.3	64628	64957.15	65279.05	65605.525	65941.15	66261.725	66602.05	66927.625	67264.725	67599.525	67930.025	68242.675	68588.1	68914.775	69246.525	69570.575	69900.675	70237.675	70544.1	70886	71217.675	71544.525	71872.725	72200.4	72540.5	72865.05	73162.4	73489.1	73806.625
Florida	1118548.525	1130750.05	1142994.05	1155120.2	1167200.5	1179252.725	1191200.4	1203031.875	1214926.8	1226846.475	1238601.1	1250312.85	1261977.975	1273767.825	1285491.15	1297303.825	1309054.65	1320761.7	1332694.475	1344463.3	1356363.9	1368094.2	1379604.175	1391189.15	1402641	1414328.7	1426100.375	1437815.9	1449459.25	1460985.475	1472554.525	1483988.925	1495461.725	1506971.275	1518426.925	1529827.25	1541307.325	1552624.1	1563951.525	1575293.35	1586502.225	1597774.15	1608728.7	1619809.2	1631083	1642672.375	1654026.45	1665279.9	1676511.675	1687705.425	1698954.375	1710330.2	1721611.9	1732861.025	1744046.35	1755301.975	1766652.6	1778023.6	1789308.025	1800618.425	1811916.625	1823142.4	1834455.05	1845743.4	1857106.925	1868356.5	1879542.875	1890637.825	1901819.2	1912931.6	1924060.9	1935271.35	1946322.375	1957372.875	1968367.8	1979530.6	1990723.375	2001752.35	2012923.95	2024089.875	2035158.525	2046208.15	2057132.325	2067813.95	2078726.225	2089674.45	2100748.2	2111845.925	2122841.575	2133679.475	2144712.425	2155638.475	2166580.675	2177321.55	2188025.475	2198722.325	2209467.075	2220391.95	2231369.025	2242336.55	2253298.675	2264183.675	2275166.5	2286125.7	2296946.35	2307770.275	2318418.425	2329133	2339745.05	2350445.05	2361088.825	2371688.3	2382293.825	2392909.7	2403433.025	2414069.575	2424702.775	2435400.875	2446216.325	2456937.85	2467585.125	2478207.55	2488738.975	2499134.25	2509631.8	2520297.925	2530670.95	2541164.55	2551759.425	2562373.375	2573037.425	2583648.35	2594180.325	2604712.925	2615294.35	2625943.825	2636440.525	2647027	2657616.525	2668268.95	2679064.225	2689705	2700358.425	2710937.55	2721330.65	2731806.05	2742233.525	2752715.05	2763202.25	2773696.8
Georgia	538560.05	545480.05	552428	559374.575	566314	573263.625	580176.525	587092.525	593981.575	600913.525	607868.1	614775.775	621702.25	628578.525	635493.625	642403	649320.675	656272.675	663159.25	670068.05	676984	683894.925	690836.925	697721.025	704624.325	711527.3	718437.075	725383.8	732231.4	739131.575	746048.775	752911	759803.425	766662.875	773538.025	780438.675	787283.325	794173.2	801050.9	807898.2	814796.5	821676	828566.6	835417.05	842312.275	849165.3	856021.675	862886.875	869807.225	876690.6	883494.2	890292.65	897130.7	903929.875	910774.15	917648.725	924485.3	931347.4	938171.575	945037.15	951829.75	958613.625	965431.725	972241.025	979003.675	985767.15	992553.975	999364.825	1006126.925	1012919.2	1019671.55	1026465.7	1033243.25	1040030.925	1046843.9	1053605.525	1060359.775	1067084.125	1073831.15	1080565.525	1087340.025	1094008.925	1100688.275	1107427.35	1114219.75	1120903.15	1127623.75	1134260.925	1140918.525	1147638.5	1154323.05	1161035.125	1167731.15	1174437.725	1181189.8	1187886.9	1194565.3	1201134.825	1207926.6	1214608.65	1221284.975	1227979.45	1234628.2	1241223.825	1247869.05	1254461.525	1261059.1	1267699.975	1274413.7	1281118.075	1287733.2	1294354.475	1300964.3	1307594	1314296.6	1320874.575	1327424.775	1333997.775	1340641.15	1347172.275	1353799.95	1360357.7	1366923.075	1373518.675	1380175.1	1386736.975	1393227.2	1399797.05	1406285.35	1412711.875	1419392.775	1425897.875	1432465.1	1439000.3	1445519.775	1452041.4	1458502.1	1464956.075	1471481.875	1478012.4	1484535	1490989.375	1497573.625	1504139.5	1510639.525	1517140.4	1523585.5	1530005.1	1536357.45	1542802.875
